statistic,tavg,prcp,Q_1,Q_1007,Q_1005,Q_1006
mean,0.0,-40.0,0.06,0.01,0.04,0.05
mean,0.0,-30.0,0.07,0.01,0.05,0.05
mean,0.0,-20.0,0.08,0.01,0.07,0.07
mean,0.0,-10.0,0.11,0.01,0.08,0.08
mean,0.0,0.0,0.14,0.01,0.1,0.1
mean,0.0,10.000000000000014,0.18,0.02,0.13,0.13
mean,0.0,20.0,0.22,0.02,0.15,0.15
mean,1.0,-40.0,0.06,0.01,0.04,0.04
mean,1.0,-30.0,0.07,0.01,0.05,0.05
mean,1.0,-20.0,0.08,0.01,0.06,0.07
mean,1.0,-10.0,0.1,0.01,0.08,0.08
mean,1.0,0.0,0.13,0.01,0.1,0.1
mean,1.0,10.000000000000014,0.17,0.02,0.12,0.12
mean,1.0,20.0,0.22,0.02,0.15,0.15
mean,2.0,-40.0,0.06,0.01,0.04,0.04
mean,2.0,-30.0,0.07,0.01,0.05,0.05
mean,2.0,-20.0,0.08,0.01,0.06,0.07
mean,2.0,-10.0,0.1,0.01,0.08,0.08
mean,2.0,0.0,0.13,0.01,0.1,0.1
mean,2.0,10.000000000000014,0.17,0.02,0.12,0.12
mean,2.0,20.0,0.21,0.02,0.15,0.15
mean,3.0,-40.0,0.06,0.01,0.04,0.04
mean,3.0,-30.0,0.07,0.01,0.05,0.05
mean,3.0,-20.0,0.08,0.01,0.06,0.06
mean,3.0,-10.0,0.1,0.01,0.08,0.08
mean,3.0,0.0,0.13,0.01,0.1,0.1
mean,3.0,10.000000000000014,0.16,0.01,0.12,0.12
mean,3.0,20.0,0.21,0.02,0.15,0.14
mean,4.0,-40.0,0.06,0.01,0.04,0.04
mean,4.0,-30.0,0.07,0.01,0.05,0.05
mean,4.0,-20.0,0.08,0.01,0.06,0.06
mean,4.0,-10.0,0.1,0.01,0.08,0.08
mean,4.0,0.0,0.13,0.01,0.1,0.1
mean,4.0,10.000000000000014,0.16,0.01,0.12,0.12
mean,4.0,20.0,0.2,0.02,0.14,0.14
max,0.0,-40.0,1.22,0.16,0.48,0.42
max,0.0,-30.0,1.32,0.16,0.51,0.47
max,0.0,-20.0,1.49,0.17,0.58,0.53
max,0.0,-10.0,1.76,0.21,0.71,0.66
max,0.0,0.0,2.13,0.27,0.86,0.82
max,0.0,10.000000000000014,2.66,0.38,1.09,1.03
max,0.0,20.0,3.35,0.55,1.33,1.26
max,1.0,-40.0,1.22,0.15,0.48,0.42
max,1.0,-30.0,1.32,0.16,0.51,0.47
max,1.0,-20.0,1.48,0.17,0.57,0.53
max,1.0,-10.0,1.74,0.21,0.7,0.66
max,1.0,0.0,2.11,0.26,0.86,0.81
max,1.0,10.000000000000014,2.62,0.37,1.08,1.03
max,1.0,20.0,3.3,0.53,1.32,1.26
max,2.0,-40.0,1.22,0.15,0.48,0.42
max,2.0,-30.0,1.31,0.16,0.51,0.47
max,2.0,-20.0,1.47,0.17,0.57,0.53
max,2.0,-10.0,1.72,0.2,0.69,0.65
max,2.0,0.0,2.08,0.26,0.85,0.8
max,2.0,10.000000000000014,2.59,0.36,1.07,1.01
max,2.0,20.0,3.25,0.51,1.31,1.24
max,3.0,-40.0,1.21,0.15,0.48,0.42
max,3.0,-30.0,1.31,0.16,0.51,0.46
max,3.0,-20.0,1.45,0.17,0.57,0.52
max,3.0,-10.0,1.7,0.2,0.68,0.64
max,3.0,0.0,2.05,0.25,0.84,0.79
max,3.0,10.000000000000014,2.55,0.35,1.05,1.0
max,3.0,20.0,3.19,0.5,1.29,1.22
max,4.0,-40.0,1.2,0.15,0.47,0.42
max,4.0,-30.0,1.3,0.16,0.51,0.46
max,4.0,-20.0,1.44,0.17,0.56,0.52
max,4.0,-10.0,1.68,0.2,0.67,0.63
max,4.0,0.0,2.03,0.25,0.82,0.78
max,4.0,10.000000000000014,2.51,0.34,1.03,0.98
max,4.0,20.0,3.14,0.49,1.27,1.2
min,0.0,-40.0,0.0047,0.0003,0.0155,0.0204
min,0.0,-30.0,0.0054,0.0003,0.0198,0.0253
min,0.0,-20.0,0.0071,0.0003,0.025,0.0307
min,0.0,-10.0,0.0096,0.0004,0.0312,0.0371
min,0.0,0.0,0.0135,0.0004,0.0374,0.0434
min,0.0,10.000000000000014,0.0186,0.0006,0.0439,0.0498
min,0.0,20.0,0.0244,0.0007,0.0507,0.0567
min,1.0,-40.0,0.0046,0.0003,0.0152,0.0202
min,1.0,-30.0,0.0053,0.0003,0.0195,0.025
min,1.0,-20.0,0.0069,0.0003,0.0246,0.0303
min,1.0,-10.0,0.0092,0.0004,0.0307,0.0366
min,1.0,0.0,0.013,0.0004,0.0368,0.0428
min,1.0,10.000000000000014,0.0179,0.0005,0.0432,0.0491
min,1.0,20.0,0.0234,0.0007,0.0498,0.0558
min,2.0,-40.0,0.0044,0.0003,0.0149,0.0199
min,2.0,-30.0,0.0051,0.0003,0.0192,0.0246
min,2.0,-20.0,0.0066,0.0003,0.0241,0.0298
min,2.0,-10.0,0.0089,0.0004,0.0302,0.0361
min,2.0,0.0,0.0125,0.0004,0.0363,0.0422
min,2.0,10.000000000000014,0.0172,0.0005,0.0425,0.0484
min,2.0,20.0,0.0224,0.0007,0.0489,0.055
min,3.0,-40.0,0.0043,0.0003,0.0147,0.0196
min,3.0,-30.0,0.0049,0.0003,0.0189,0.0243
min,3.0,-20.0,0.0064,0.0003,0.0237,0.0293
min,3.0,-10.0,0.0085,0.0004,0.0297,0.0356
min,3.0,0.0,0.012,0.0004,0.0357,0.0416
min,3.0,10.000000000000014,0.0165,0.0005,0.0418,0.0478
min,3.0,20.0,0.0215,0.0007,0.0481,0.0542
min,4.0,-40.0,0.0042,0.0003,0.0144,0.0193
min,4.0,-30.0,0.0048,0.0003,0.0186,0.0239
min,4.0,-20.0,0.0062,0.0003,0.0233,0.0289
min,4.0,-10.0,0.0082,0.0003,0.0291,0.035
min,4.0,0.0,0.0115,0.0004,0.0351,0.041
min,4.0,10.000000000000014,0.0158,0.0005,0.0411,0.0471
min,4.0,20.0,0.0207,0.0006,0.0473,0.0534
q95,0.0,-40.0,0.2,0.02,0.12,0.11
q95,0.0,-30.0,0.24,0.02,0.14,0.13
q95,0.0,-20.0,0.29,0.03,0.17,0.17
q95,0.0,-10.0,0.37,0.04,0.22,0.21
q95,0.0,0.0,0.48,0.05,0.28,0.27
q95,0.0,10.000000000000014,0.6,0.07,0.35,0.33
q95,0.0,20.0,0.76,0.11,0.43,0.41
q95,1.0,-40.0,0.2,0.02,0.12,0.11
q95,1.0,-30.0,0.24,0.02,0.14,0.13
q95,1.0,-20.0,0.29,0.03,0.17,0.16
q95,1.0,-10.0,0.37,0.04,0.22,0.21
q95,1.0,0.0,0.47,0.05,0.28,0.26
q95,1.0,10.000000000000014,0.59,0.07,0.34,0.33
q95,1.0,20.0,0.75,0.1,0.42,0.4
q95,2.0,-40.0,0.2,0.02,0.11,0.11
q95,2.0,-30.0,0.23,0.02,0.14,0.13
q95,2.0,-20.0,0.29,0.03,0.17,0.16
q95,2.0,-10.0,0.36,0.04,0.21,0.2
q95,2.0,0.0,0.46,0.05,0.27,0.26
q95,2.0,10.000000000000014,0.58,0.07,0.34,0.32
q95,2.0,20.0,0.73,0.1,0.42,0.39
q95,3.0,-40.0,0.2,0.02,0.11,0.11
q95,3.0,-30.0,0.23,0.02,0.14,0.13
q95,3.0,-20.0,0.28,0.03,0.17,0.16
q95,3.0,-10.0,0.35,0.04,0.21,0.2
q95,3.0,0.0,0.45,0.05,0.27,0.25
q95,3.0,10.000000000000014,0.57,0.07,0.33,0.32
q95,3.0,20.0,0.72,0.1,0.41,0.39
q95,4.0,-40.0,0.2,0.02,0.11,0.11
q95,4.0,-30.0,0.23,0.02,0.13,0.13
q95,4.0,-20.0,0.28,0.03,0.17,0.16
q95,4.0,-10.0,0.35,0.03,0.21,0.2
q95,4.0,0.0,0.45,0.05,0.26,0.25
q95,4.0,10.000000000000014,0.56,0.07,0.33,0.31
q95,4.0,20.0,0.71,0.1,0.4,0.38
returninterval,0.0,-40.0,2.54,0.33,0.86,0.79
returninterval,0.0,-30.0,2.66,0.34,0.95,0.95
returninterval,0.0,-20.0,2.92,0.36,1.13,1.21
returninterval,0.0,-10.0,3.49,0.45,1.51,1.58
returninterval,0.0,0.0,4.36,0.6,1.93,1.91
returninterval,0.0,10.000000000000014,5.64,0.9,2.45,2.32
returninterval,0.0,20.0,7.32,1.28,2.9,2.72
