td,prcp,wl
0,1.4,0
0,1.6,0
0,1.8,0
0,2,0
0,2.2,0
0,2.4,0
0,2.6,0.006518859
0,2.8,0.062165085
0,3,0.3952446
0,3.2,0.8277223
0,3.4,1.3049113
0,3.6,1.7630622
0,3.8,2.2052503
0,4,2.6848001
60.9,1.4,0.13219035
60.9,1.6,0.14250691
60.9,1.8,0.14901465
60.9,2,0.19295463
60.9,2.2,0.24450493
60.9,2.4,0.3068682
60.9,2.6,0.38685703
60.9,2.8,0.51685715
60.9,3,0.73644394
60.9,3.2,1.1099946
60.9,3.4,1.4359375
60.9,3.6,1.8455554
60.9,3.8,2.2755556
60.9,4,2.5848002
65.9,1.4,0.035653733
65.9,1.6,0.04418352
65.9,1.8,0.061032657
65.9,2,0.11949916
65.9,2.2,0.1900402
65.9,2.4,0.26529968
65.9,2.6,0.37874466
65.9,2.8,0.54862356
65.9,3,0.77685714
65.9,3.2,1.2059375
65.9,3.4,1.5459377
65.9,3.6,1.9655555
65.9,3.8,2.3555558
65.9,4,2.6848001
70.7,1.4,0.1868412
70.7,1.6,0.20472711
70.7,1.8,0.20615003
70.7,2,0.2464444
70.7,2.2,0.31637514
70.7,2.4,0.36825013
70.7,2.6,0.43685699
70.7,2.8,0.5768571
70.7,3,0.78280544
70.7,3.2,1.1175352
70.7,3.4,1.4359375
70.7,3.6,1.8755656
70.7,3.8,2.2755556
70.7,4,2.5848002
76.6,1.4,0.056068085
76.6,1.6,0.06711337
76.6,1.8,0.09590897
76.6,2,0.17277968
76.6,2.2,0.2586721
76.6,2.4,0.35816678
76.6,2.6,0.44782332
76.6,2.8,0.63637483
76.6,3,0.8368571
76.6,3.2,1.1874812
76.6,3.4,1.562937
76.6,3.6,1.9655555
76.6,3.8,2.3555558
76.6,4,2.6848001
86.3,1.4,0.28257653
86.3,1.6,0.28570828
86.3,1.8,0.31466973
86.3,2,0.31387004
86.3,2.2,0.41600004
86.3,2.4,0.45905727
86.3,2.6,0.55507207
86.3,2.8,0.6638805
86.3,3,0.84325355
86.3,3.2,1.1578126
86.3,3.4,1.4678127
86.3,3.6,1.8455554
86.3,3.8,2.2055557
86.3,4,2.5848002
93.4,1.4,0.10276111
93.4,1.6,0.11985476
93.4,1.8,0.17074513
93.4,2,0.27326468
93.4,2.2,0.3705654
93.4,2.4,0.4638359
93.4,2.6,0.573002
93.4,2.8,0.730085
93.4,3,0.92142045
93.4,3.2,1.2578133
93.4,3.4,1.5711118
93.4,3.6,1.9303808
93.4,3.8,2.3555558
93.4,4,2.6848001
100.3,1.4,0.35539284
100.3,1.6,0.34635356
100.3,1.8,0.38590905
100.3,2,0.40615007
100.3,2.2,0.4957
100.3,2.4,0.5460001
100.3,2.6,0.63637483
100.3,2.8,0.7368572
100.3,3,0.868728
100.3,3.2,1.1387752
100.3,3.4,1.4578125
100.3,3.6,1.8155555
100.3,3.8,2.2755556
100.3,4,2.5848002
108.5,1.4,0.17416441
108.5,1.6,0.2013031
108.5,1.8,0.26643056
108.5,2,0.3619751
108.5,2.2,0.4522824
108.5,2.4,0.54507715
108.5,2.6,0.64812124
108.5,2.8,0.8259999
108.5,3,0.9868572
108.5,3.2,1.2959795
108.5,3.4,1.5559376
108.5,3.6,1.9055554
108.5,3.8,2.2755556
108.5,4,2.6848001
122.3,1.4,0.49449927
122.3,1.6,0.51698756
122.3,1.8,0.5179142
122.3,2,0.5693237
122.3,2.2,0.63419217
122.3,2.4,0.6520193
122.3,2.6,0.736375
122.3,2.8,0.8368571
122.3,3,0.92685723
122.3,3.2,1.1859375
122.3,3.4,1.4359375
122.3,3.6,1.8055555
122.3,3.8,2.2055557
122.3,4,2.5848002
132.4,1.4,0.3076902
132.4,1.6,0.37085265
132.4,1.8,0.41313314
132.4,2,0.5192887
132.4,2.2,0.60480016
132.4,2.4,0.69492865
132.4,2.6,0.78234625
132.4,2.8,0.9157001
132.4,3,1.0682501
132.4,3.2,1.3061482
132.4,3.4,1.5559376
132.4,3.6,1.8955935
132.4,3.8,2.2755556
132.4,4,2.684804
204.6,1.4,0.1491305
204.6,1.6,0.16989756
204.6,1.8,0.19492318
204.6,2,0.27717027
204.6,2.2,0.35570014
204.6,2.4,0.51600015
204.6,2.6,0.6776381
204.6,2.8,0.8582856
204.6,3,1.0268571
204.6,3.2,1.3159797
204.6,3.4,1.6059376
204.6,3.6,1.9617609
204.6,3.8,2.2755556
204.6,4,2.6848001
237.7,1.4,0.2130071
237.7,1.6,0.24483423
237.7,1.8,0.28001332
237.7,2,0.39300624
237.7,2.2,0.4957
237.7,2.4,0.6699822
237.7,2.6,0.8509251
237.7,2.8,1.0293
237.7,3,1.1968572
237.7,3.2,1.4160545
237.7,3.4,1.6499116
237.7,3.6,1.9055691
237.7,3.8,2.2755556
237.7,4,2.5848038
