scenario,model,prcp,tavg
rcp26,bcc-csm1-1,2.975937429,1.781316541
rcp26,bcc-csm1-1-m,11.37862934,1.787488601
rcp26,CanESM2,-26.82470964,3.53422506
rcp26,CCSM4,4.378466296,1.822001413
rcp26,CESM1-CAM5,6.618077949,2.007815399
rcp26,CSIRO-Mk3-6-0,-4.668912985,2.426555519
rcp26,FGOALS-g2,2.078688108,1.451191928
rcp26,FIO-ESM,4.708976929,1.749156614
rcp26,GFDL-CM3,-8.90172432,3.143430104
rcp26,GFDL-ESM2G,0.743716923,1.788899738
rcp26,GISS-E2-H,-19.06443377,1.970666864
rcp26,GISS-E2-R,-18.06913315,1.99549031
rcp26,HadGEM2-AO,-1.700565556,1.755926818
rcp26,HadGEM2-ES,4.583077315,2.142916895
rcp26,IPSL-CM5A-LR,-46.15580511,3.019191231
rcp26,IPSL-CM5A-MR,-3.736704175,2.219937289
rcp26,MIROC-ESM,3.554167428,2.60765076
rcp26,MIROC-ESM-CHEM,2.198222508,2.911149577
rcp26,MIROC5,11.67280888,1.784931083
rcp26,MPI-ESM-LR,3.967505359,2.189552534
rcp26,MPI-ESM-MR,10.88481948,1.896173593
rcp26,MRI-CGCM3,0.700218733,1.469852997
rcp26,NorESM1-M,5.738942859,1.709584612
rcp45,ACCESS1-0,3.98487656,2.445735156
rcp45,ACCESS1-3,-3.354153524,2.329150804
rcp45,bcc-csm1-1,6.790572057,2.106845889
rcp45,bcc-csm1-1-m,11.65823456,2.021197492
rcp45,CanESM2,-44.38994519,4.368058489
rcp45,CCSM4,4.069946577,2.089289268
rcp45,CESM1-BGC,6.866495671,2.086832004
rcp45,CESM1-CAM5,10.39946643,2.324836529
rcp45,CMCC-CM,8.454212945,2.495604866
rcp45,CMCC-CMS,2.441961068,2.466718607
rcp45,CSIRO-Mk3-6-0,1.253302055,3.087139445
rcp45,FGOALS-g2,4.344373685,1.85030993
rcp45,FIO-ESM,7.5690848,2.128763386
rcp45,GFDL-CM3,-9.370723209,3.924322757
rcp45,GFDL-ESM2G,2.032030785,2.130910306
rcp45,GFDL-ESM2M,3.574262952,2.20917343
rcp45,GISS-E2-H,-15.52501433,2.391354262
rcp45,GISS-E2-H-CC,-18.97110641,2.346458239
rcp45,GISS-E2-R,-19.80744591,2.417756344
rcp45,GISS-E2-R-CC,-28.46377419,2.641677794
rcp45,HadCM3,2.707726896,3.349341641
rcp45,HadGEM2-AO,5.169059313,2.59520058
rcp45,HadGEM2-CC,3.615702991,2.510230996
rcp45,HadGEM2-ES,7.779070841,2.619530225
rcp45,inmcm4,3.070363899,1.385022744
rcp45,IPSL-CM5A-LR,-63.83210711,3.986637468
rcp45,IPSL-CM5A-MR,-1.578682144,2.720228044
rcp45,IPSL-CM5B-LR,-5.297617895,2.257574156
rcp45,MIROC-ESM,2.478945625,2.796941305
rcp45,MIROC-ESM-CHEM,3.734862069,2.97232812
rcp45,MIROC4h,6.968462629,2.335258251
rcp45,MIROC5,9.607650965,2.066501654
rcp45,MPI-ESM-LR,2.10070998,2.742564328
rcp45,MPI-ESM-MR,9.622324171,2.454619291
rcp45,MRI-CGCM3,1.333423519,1.821741987
rcp45,NorESM1-M,4.995485427,2.097339835
rcp60,bcc-csm1-1,9.330698499,2.049517402
