scenario,model,prcp,tavg
rcp26,bcc-csm1-1,5,1
rcp26,bcc-csm1-1-m,5,1
rcp26,CanESM2,5,1
rcp26,CCSM4,5,1
rcp26,CESM1-CAM5,5,2
rcp26,CSIRO-Mk3-6-0,5,2
rcp26,FGOALS-g2,5,2
rcp26,FIO-ESM,5,2
rcp26,GFDL-CM3,5,2
rcp26,GFDL-ESM2G,5,2
rcp26,GISS-E2-H,5,2
rcp26,GISS-E2-R,5,2
rcp26,HadGEM2-AO,5,2
rcp26,HadGEM2-ES,5,2
rcp26,IPSL-CM5A-LR,5,2
rcp26,IPSL-CM5A-MR,5,2
rcp26,MIROC-ESM,5,2
rcp26,MIROC-ESM-CHEM,5,2
rcp26,MIROC5,5,2
rcp26,MPI-ESM-LR,5,2
rcp26,MPI-ESM-MR,5,2
rcp26,MRI-CGCM3,5,2
rcp26,NorESM1-M,5,2
rcp45,ACCESS1-0,5,2
rcp45,ACCESS1-3,5,2
rcp45,bcc-csm1-1,5,2
rcp45,bcc-csm1-1-m,5,2
rcp45,CanESM2,5,2
rcp45,CCSM4,5,2
rcp45,CESM1-BGC,5,2
rcp45,CESM1-CAM5,5,1
rcp45,CMCC-CM,5,1
rcp45,CMCC-CMS,5,1
rcp45,CSIRO-Mk3-6-0,5,1
rcp45,FGOALS-g2,5,1
rcp45,FIO-ESM,5,1
rcp45,GFDL-CM3,5,1
rcp45,GFDL-ESM2G,5,1
rcp45,GFDL-ESM2M,5,1
rcp45,GISS-E2-H,5,1
rcp45,GISS-E2-H-CC,5,1
rcp45,GISS-E2-R,5,1
rcp45,GISS-E2-R-CC,5,1
rcp45,HadCM3,5,1
rcp45,HadGEM2-AO,5,1
rcp45,HadGEM2-CC,5,1
rcp45,HadGEM2-ES,5,1
rcp45,inmcm4,5,1
rcp45,IPSL-CM5A-LR,5,1
rcp45,IPSL-CM5A-MR,5,1
rcp45,IPSL-CM5B-LR,5,1
rcp45,MIROC-ESM,5,1
rcp45,MIROC-ESM-CHEM,5,1
rcp45,MIROC4h,5,1
rcp45,MIROC5,5,1
rcp45,MPI-ESM-LR,5,1
rcp45,MPI-ESM-MR,5,1
rcp45,MRI-CGCM3,5,1
rcp45,NorESM1-M,5,1
rcp60,bcc-csm1-1,5,1
rcp60,bcc-csm1-1-m,5,1
rcp60,CCSM4,5,1
rcp60,CESM1-CAM5,5,1
rcp60,CSIRO-Mk3-6-0,5,1
rcp60,FIO-ESM,5,1
rcp60,GFDL-CM3,5,1
rcp60,GFDL-ESM2G,5,1
rcp60,GFDL-ESM2M,5,1
rcp60,GISS-E2-H,5,1
rcp60,GISS-E2-R,5,1
rcp60,HadGEM2-AO,5,1
rcp60,HadGEM2-ES,5,1
rcp60,IPSL-CM5A-LR,5,1
rcp60,IPSL-CM5A-MR,5,1
rcp60,MIROC-ESM,5,1
rcp60,MIROC-ESM-CHEM,5,1
rcp60,MIROC5,5,1
rcp60,MRI-CGCM3,5,1
rcp60,NorESM1-M,5,1
rcp85,ACCESS1-0,5,1
rcp85,ACCESS1-3,5,1
rcp85,bcc-csm1-1,5,1
rcp85,bcc-csm1-1-m,5,1
rcp85,CanESM2,5,1
rcp85,CCSM4,5,1
rcp85,CESM1-BGC,5,1
rcp85,CESM1-CAM5,5,1
rcp85,CMCC-CM,5,1
rcp85,CMCC-CMS,5,1
rcp85,CSIRO-Mk3-6-0,5,1
rcp85,EC-EARTH,5,1
rcp85,FGOALS-g2,5,1
rcp85,FIO-ESM,5,1
rcp85,GFDL-CM3,5,1
rcp85,GFDL-ESM2G,5,1
rcp85,GFDL-ESM2M,5,1
rcp85,GISS-E2-H,5,1
rcp85,GISS-E2-R,5,1
rcp85,HadGEM2-AO,5,1
rcp85,HadGEM2-CC,5,1
rcp85,HadGEM2-ES,5,1
rcp85,inmcm4,5,1
rcp85,IPSL-CM5A-LR,5,1
rcp85,IPSL-CM5A-MR,5,1
rcp85,IPSL-CM5B-LR,5,1
rcp85,MIROC-ESM,5,1
rcp85,MIROC-ESM-CHEM,5,1
rcp85,MIROC5,5,1
rcp85,MPI-ESM-LR,5,1
rcp85,MPI-ESM-MR,5,1
rcp85,MRI-CGCM3,5,1
rcp85,NorESM1-M,5,1
