x,y,z
1,0.7,71.83
2,0.7,71.67
3,0.7,71.33
4,0.7,70.83
5,0.7,70.5
0,0.8,78
1,0.8,77.83
2,0.8,77.67
3,0.8,77.5
4,0.8,77
5,0.8,76.83
0,0.9,84.67
1,0.9,84.17
2,0.9,83.17
3,0.9,82.67
4,0.9,82.5
5,0.9,81.5
0,1,90
1,1,89.67
2,1,89
3,1,88.83
4,1,88.33
5,1,88.17
0,1.1,92.67
1,1.1,92.5
2,1.1,91.83
3,1.1,91.67
4,1.1,91.33
5,1.1,90.83
0,1.2,95.17
1,1.2,95.17
2,1.2,94.83
3,1.2,94.17
4,1.2,93.83
5,1.2,93.83
0,1.3,96
1,1.3,95.83
2,1.3,95.67
3,1.3,95.67
4,1.3,95.67
5,1.3,95.67
0,1.4,96.83
1,1.4,96.83
2,1.4,96.67
3,1.4,96.67
4,1.4,96.5
5,1.4,96.33
0,1.5,97.17
1,1.5,97.17
2,1.5,97.17
3,1.5,97.17
4,1.5,97.17
5,1.5,97
