scenario,model,prcp,tavg
rcp26,bcc-csm1-1,2.231953072,1.281316541
rcp26,bcc-csm1-1-m,8.533972007,1.287488601
rcp26,CanESM2,-20.11853223,3.03422506
rcp26,CCSM4,3.283849722,1.322001413
rcp26,CESM1-CAM5,4.963558462,1.507815399
rcp26,CSIRO-Mk3-6-0,-3.501684739,1.926555519
rcp26,FGOALS-g2,1.559016081,0.951191928
rcp26,FIO-ESM,3.531732697,1.249156614
rcp26,GFDL-CM3,-6.67629324,2.643430104
rcp26,GFDL-ESM2G,0.557787692,1.288899738
rcp26,GISS-E2-H,-14.29832533,1.470666864
rcp26,GISS-E2-R,-13.55184986,1.49549031
rcp26,HadGEM2-AO,-1.275424167,1.255926818
rcp26,HadGEM2-ES,3.437307986,1.642916895
rcp26,IPSL-CM5A-LR,-34.61685383,2.519191231
rcp26,IPSL-CM5A-MR,-2.802528131,1.719937289
rcp26,MIROC-ESM,2.665625571,2.10765076
rcp26,MIROC-ESM-CHEM,1.648666881,2.411149577
rcp26,MIROC5,8.754606658,1.284931083
rcp26,MPI-ESM-LR,2.975629019,1.689552534
rcp26,MPI-ESM-MR,8.163614609,1.396173593
rcp26,MRI-CGCM3,0.52516405,0.969852997
rcp26,NorESM1-M,4.304207144,1.209584612
rcp45,ACCESS1-0,2.98865742,1.945735156
rcp45,ACCESS1-3,-2.515615143,1.829150804
rcp45,bcc-csm1-1,5.092929043,1.606845889
rcp45,bcc-csm1-1-m,8.743675922,1.521197492
rcp45,CanESM2,-33.29245889,3.868058489
rcp45,CCSM4,3.052459933,1.589289268
rcp45,CESM1-BGC,5.149871753,1.586832004
rcp45,CESM1-CAM5,7.799599825,1.824836529
rcp45,CMCC-CM,6.340659709,1.995604866
rcp45,CMCC-CMS,1.831470801,1.966718607
rcp45,CSIRO-Mk3-6-0,0.939976541,2.587139445
rcp45,FGOALS-g2,3.258280264,1.35030993
rcp45,FIO-ESM,5.6768136,1.628763386
rcp45,GFDL-CM3,-7.028042407,3.424322757
rcp45,GFDL-ESM2G,1.524023089,1.630910306
rcp45,GFDL-ESM2M,2.680697214,1.70917343
rcp45,GISS-E2-H,-11.64376075,1.891354262
rcp45,GISS-E2-H-CC,-14.22832981,1.846458239
rcp45,GISS-E2-R,-14.85558443,1.917756344
rcp45,GISS-E2-R-CC,-21.34783064,2.141677794
rcp45,HadCM3,2.030795172,2.849341641
rcp45,HadGEM2-AO,3.876794485,2.09520058
rcp45,HadGEM2-CC,2.711777243,2.010230996
rcp45,HadGEM2-ES,5.834303131,2.119530225
rcp45,inmcm4,2.302772924,0.885022744
rcp45,IPSL-CM5A-LR,-47.87408033,3.486637468
rcp45,IPSL-CM5A-MR,-1.184011608,2.220228044
rcp45,IPSL-CM5B-LR,-3.973213421,1.757574156
rcp45,MIROC-ESM,1.859209219,2.296941305
rcp45,MIROC-ESM-CHEM,2.801146552,2.47232812
rcp45,MIROC4h,5.226346972,1.835258251
rcp45,MIROC5,7.205738224,1.566501654
rcp45,MPI-ESM-LR,1.575532485,2.242564328
rcp45,MPI-ESM-MR,7.216743128,1.954619291
rcp45,MRI-CGCM3,1.000067639,1.321741987
rcp45,NorESM1-M,3.74661407,1.597339835
rcp60,bcc-csm1-1,6.998023874,1.549517402
rcp60,bcc-csm1-1-m,6.857961018,1.591435465
rcp60,CCSM4,1.092211352,1.664150117
rcp60,CESM1-CAM5,7.303703601,1.667391872
rcp60,CSIRO-Mk3-6-0,-3.793136042,1.952321784
rcp60,FIO-ESM,6.279038141,1.636601044
rcp60,GFDL-CM3,-4.143549018,2.835959546
rcp60,GFDL-ESM2G,2.034419402,1.519977632
rcp60,GFDL-ESM2M,1.917027169,1.534015474
rcp60,GISS-E2-H,-7.618630257,1.65609382
rcp60,GISS-E2-R,-14.36094809,1.815747307
rcp60,HadGEM2-AO,0.84668216,1.42736688
rcp60,HadGEM2-ES,5.119608218,2.011601323
rcp60,IPSL-CM5A-LR,-40.76345682,3.090615962
rcp60,IPSL-CM5A-MR,-3.793948362,2.117896692
rcp60,MIROC-ESM,1.756068055,2.241432263
rcp60,MIROC-ESM-CHEM,0.291477353,2.218109588
rcp60,MIROC5,8.73139777,1.126341126
rcp60,MRI-CGCM3,2.840883477,1.166769355
rcp60,NorESM1-M,5.088334449,1.355386708
rcp85,ACCESS1-0,4.586261402,2.63980732
rcp85,ACCESS1-3,-5.50696011,2.414639729
rcp85,bcc-csm1-1,14.69480975,2.158754977
rcp85,bcc-csm1-1-m,11.32082014,2.051037756
rcp85,CanESM2,-32.05782358,4.578909325
rcp85,CCSM4,1.468644693,2.238029889
rcp85,CESM1-BGC,6.168315985,2.074881453
rcp85,CESM1-CAM5,7.869472461,2.357404872
rcp85,CMCC-CM,11.10408495,2.464100954
rcp85,CMCC-CMS,7.24821065,2.767107109
rcp85,CSIRO-Mk3-6-0,-7.14371326,3.043659466
rcp85,EC-EARTH,2.243752287,2.013974193
rcp85,FGOALS-g2,2.551934016,1.828492528
rcp85,FIO-ESM,9.303820306,2.164866581
rcp85,GFDL-CM3,-9.945573466,3.989526677
rcp85,GFDL-ESM2G,2.41136762,2.179085219
rcp85,GFDL-ESM2M,6.214842606,2.158748638
rcp85,GISS-E2-H,-12.28781905,2.37927562
rcp85,GISS-E2-R,-23.08624488,2.638306925
rcp85,HadGEM2-AO,0.880320611,2.255189563
rcp85,HadGEM2-CC,1.463778619,2.733492448
rcp85,HadGEM2-ES,4.67086068,2.820105978
rcp85,inmcm4,1.614713511,1.229181941
rcp85,IPSL-CM5A-LR,-44.87783907,4.359755747
rcp85,IPSL-CM5A-MR,-1.909118812,3.046771432
rcp85,IPSL-CM5B-LR,-6.448356654,2.439052651
rcp85,MIROC-ESM,2.408750292,2.912962272
rcp85,MIROC-ESM-CHEM,2.066894432,3.193055125
